key,name,notes,money,kind,key:sponsorship
donation-10,' or 'A' = 'A,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-00
#name- no singular values,""
#notes- standard variations,""
donation-11,Lorem ipsum dolor sit amet  consectetu,L,EUR 500000.00,ALTRUIST,sponsorship-00
donation-12,Lorem ipsum dolor sit amet  consectetu,Lo,EUR 500000.00,ALTRUIST,sponsorship-00
donation-13,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,EUR 500000.00,ALTRUIST,sponsorship-00
donation-14,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,EUR 500000.00,ALTRUIST,sponsorship-00
donation-15,Lorem ipsum dolor sit amet  consectetu,โลเร็ม อิปซัม,EUR 500000.00,ALTRUIST,sponsorship-00
donation-16,Lorem ipsum dolor sit amet  consectetu,لوريم إيبسوم,EUR 500000.00,ALTRUIST,sponsorship-00
donation-17,Lorem ipsum dolor sit amet  consectetu,洛伦·伊普森,EUR 500000.00,ALTRUIST,sponsorship-00
donation-18,Lorem ipsum dolor sit amet  consectetu,<marquee>Hacked</marquee>,EUR 500000.00,ALTRUIST,sponsorship-00
donation-19,Lorem ipsum dolor sit amet  consectetu,<script>alert(‘Hacked!’);</script>,EUR 500000.00,ALTRUIST,sponsorship-00
donation-20,Lorem ipsum dolor sit amet  consectetu,' or 'A' = 'A,EUR 500000.00,ALTRUIST,sponsorship-00
#notes- no singular values
#money-standard variations
donation-21,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 0.00,ALTRUIST,sponsorship-00
donation-22,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 0.01,ALTRUIST,sponsorship-00
donation-23,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 999999.99,ALTRUIST,sponsorship-00
donation-24,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 10.33,ALTRUIST,sponsorship-00
#money- no singular values,"","","",""
#kind- standard variations,"","",""
donation-25,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,REWARDED,sponsorship-00
donation-26,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,CELEBRATED,sponsorship-00
#kind- no singular values,""
#sponsorship standard variations,"","","","","","",""
donation-27,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-01
donation-28,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-02
donation-29,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-03
#sponsorship- no singular values,""
